Quantity;Context;Good;Bad;gpt2_medium;gpt2_medium + length average;gpt2_xl;gpt2_xl + LP;DialoGPT-large + SLOR;DialoGPT-large + LP;roberta-large + LP
Too few;Can you give me your telephone number ? ;Here is my number : 06.66.88.34.22;Yes.;0;0;0;0;1;0;0
Too few;Where is the post office ? ;Down the road, about 50 metres past the second left.;Not far.;0;0;0;1;1;0;0
Too few;What did you eat for lunch ? ;I ate a pizza.;I ate some food. ;1;1;1;0;1;1;1
Too few;What did you get for christmas ? ;I got a bicycle.;I got a present.;1;1;0;0;0;0;1
Too few;Where will you go on holiday ? ;I will go to the french montains.;I will go somewhere. ;0;0;0;0;1;0;0
Too few;What is dad doing ? ;He is vacuuming the house. ;He is doing something.;0;0;0;1;1;0;0
Too long;What is dad doing ? ;He is vacuuming the house. ;He is vacuuming the house to vacuum the house's floor.  ;1;1;1;1;0;1;1
Too long;Do you know Alicia's father ? ;Yes.;Yes, he is a man. ;1;0;1;0;0;1;1
Too long;Do you know Alicia's father ? ;Yes, I know him.;Yes, I know him, he is a man.;1;0;1;0;0;1;1
Too few;What did you see at the cinema yesterday ? ;I saw James Bond. ;I saw something.;0;1;0;1;1;0;0
Too few;What did you see at the cinema yesterday ? ;I saw James Bond. ;I saw a movie.;0;0;0;0;0;0;0
Too long;What did you see at the cinema yesterday ? ;James Bond.;James Bond, it is a movie.;1;0;1;1;0;1;1
Too few;What did you see at the cinema yesterday ? ;James Bond.;A movie.;0;0;0;0;1;1;1
Too long;What did you see at the cinema yesterday ? ;I saw James Bond. ;I saw James Bond, it is a movie.;1;0;1;1;0;1;0
Too few;What kind of music do you like ? ;I like classical music.;I like music.;1;1;1;1;1;0;1
Too long;What kind of music do you like ? ;I like classical music.;I like classical music, it is a genre of music.  ;1;1;1;1;0;1;1
Too long;What kind of music do you like ? ;I like to listen classical music.;I like to listen classical music when I listen music.;1;1;1;1;0;1;0
Too long;Do you know him ? ;Yes, I do.;Yes, I do, he is a person I know. ;1;0;1;0;0;1;1
Too long;Where did you go last week ? ;I went to Paris.;I went to Paris, it is a city in a country. ;1;0;1;1;0;1;1
Too few;Where did you go last week ? ;I went to Paris.;I went somewhere.;0;0;1;1;1;0;1
Too few;Where did you go last week ? ;I went to Paris, last week. ;I went somewhere.;0;1;0;1;0;0;0
Too few;How many children do you have ? ;Three.;Several.;1;1;1;1;0;0;1
Too few;How many children do you have ? ;Three.;At least one. ;1;0;1;1;0;1;1
Too few;How many children do you have ? ;I have three children. ;At least one. ;1;1;1;1;1;0;1
Too long;How many children do you have ? ;I have three children. ;I have three children, each of them is my child. ;1;1;1;0;0;1;1
Too long;What do you want to drink ? ;I would like a beer.;I would like a beer, it is a drink. ;1;1;1;1;1;1;1
Too long;What do you want to drink ? ;I would like a beer, it have been a long time since last time I drink one. ;I would like a beer, it is a drink. ;0;1;0;1;1;0;0
Too long;Do you have a dog ? ;Yes, I have a dog.;Yes, it has four legs. ;1;1;1;1;1;1;1
Too long;Do you have a dog ? ;Yes, I have a dog called Bucky. ;Yes, it has four legs. ;0;1;0;1;1;0;0
Too long;Do have a brother ? ;Yes, I have a brother.;Yes, I have a brother, it is a boy. ;1;0;1;0;1;1;1
Too long;What is your favorite color ? ;Yellow.;Yellow, which is a color.;1;0;1;1;0;1;0
Too long;What is your favorite color ? ;Yellow, like the sun. ;Yellow, which is a color.;1;1;1;1;0;0;0
Too long;What is dad doing ? ;He is using the vacuum to remove the dust on the floor.;He is using the vacuum to remove the dust on floor because there is dust on the floor. ;1;0;1;1;1;1;1
Too few;What is your favorite color ? ;Yellow.;A color. ;1;1;1;1;1;1;1
Too long;What is your favorite color ? ;My favorite color is yellow.;My favorite color is yellow, it is a color. ;1;1;1;1;1;1;1
Too few;What is your favorite color ? ;My favorite color is yellow.;My favorite color is a color. ;1;1;1;1;1;1;1
Too long;What is your job ? ;I am a nurse.;I am a nurse, it is my job. ;1;0;1;1;1;1;1
Too long;Do you like wine ? ;Yes, I like wine, espescially french wine. ;Yes, I like wine, it is made with grapes.;0;0;0;0;1;0;0
Too few;Where do you live ? ;I live in this city.;I live in a house.;0;0;0;0;0;0;0
;;;;;;;;;;
TOTAL;;;;26;19;26;26;21;22;24
